	id	created_at	text	lang	hashtags	isRelevant	isRelevant_text
13	1460757356497846274	2021-11-16T23:51:08.000Z	b'RT @_wilsur: Not enough Wong #fanart out there and he is a favorite!\\nCheers @wongrel \\u2728\\n.\\n#wong #drstrange #shangchi https://t.co/Dj6Vc3z82A'	en	['fanart', 'wong', 'drstrange', 'shangchi']	True	True
14	1460757213052641284	2021-11-16T23:50:33.000Z	b'I always love coming home to packages like this! #shangchi #madmaxanthology https://t.co/pjWqDgUocl https://t.co/cKJksjbYhB'	en	['shangchi', 'madmaxanthology']	True	True
15	1460756933565157378	2021-11-16T23:49:27.000Z	b'Oh shit\\u2026.this is moving like Dynasty Warriors \\U0001f4aa\\U0001f3ff\\U0001f4aa\\U0001f3ff #ShangChi'	en	['ShangChi']	True	True
16	1460756762424979467	2021-11-16T23:48:46.000Z	b'I\\u2019m bout to watch #ShangChi again.'	en	['ShangChi']	True	True
17	1460756664248938502	2021-11-16T23:48:22.000Z	b'@SimuLiu, I know I\\u2019m late to the party but #ShangChi is a movie I gotta own. \\U0001f919\\U0001f3fd Looking forward to your next killer project #MoreMarvelUniverseForYou'	en	['ShangChi', 'MoreMarvelUniverseForYou']	True	True
18	1460756576747282433	2021-11-16T23:48:02.000Z	b'RT @marvel_shots: Brother &amp; Sister #ShangChi https://t.co/4A4SxCpkkc'	en	['ShangChi']	True	True
19	1460756507897696256	2021-11-16T23:47:45.000Z	b'RT @dinpaz_ceo: // flashing \\n-\\n#xialing: don\\u2019t fuck with me\\n-\\n-\\ntags: \\n#ShangChi xu xialing fancam edit #Wenwu\\xa0#marvel shang chi and the le\\u2026'	en	['xialing', 'ShangChi', 'Wenwu', 'marvel']	True	True
20	1460756390331310082	2021-11-16T23:47:17.000Z	b'RT @walmartbucky: shangchi  canonically  knows  4  languages  and  theyre  mandarin  english  french  ( learnt  in  high  school ) &amp;  sign\\u2026'	en	[]	True	True
21	1460756174899400705	2021-11-16T23:46:26.000Z	b'Watching @shangchi  for the 4th time. The bus fight scene is awesome.'	en	[]	True	True
22	1460756153412067331	2021-11-16T23:46:21.000Z	b'Just watched Shang Chi. Really enjoyed it. Great characters, direction &amp; use of colour/lighting. Also, no spoilers, but I love Wong #shangchi'	en	['shangchi']	True	True
